ID,Nombre,LastName,Products,Child,Other,Description,average,Salary,Salary Neto,Location,Image,Gallery,File,Color,Hashtags,BirthDate,LastLogin,Record,Active,Created
"671","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","24/6/2018 15:22 "
"661","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","25/6/2018 15:22 "
"651","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","26/6/2018 15:22 "
"641","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","27/6/2018 15:22 "
"631","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","28/6/2018 15:22 "
"621","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","29/6/2018 15:22 "
"611","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","30/6/2018 15:22 "
"601","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","31/6/2018 15:22 "
"591","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","32/6/2018 15:22 "
"581","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","2/7/2018 15:22 "
"571","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","3/7/2018 15:22 "
"561","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","4/7/2018 15:22 "
"551","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","5/7/2018 15:22 "
"541","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","6/7/2018 15:22 "
"531","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","7/7/2018 15:22 "
"521","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","8/7/2018 15:22 "
"511","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","9/7/2018 15:22 "
"501","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","10/7/2018 15:22 "
"491","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","11/7/2018 15:22 "
"481","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","12/7/2018 15:22 "
"471","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","13/7/2018 15:22 "
"461","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","14/7/2018 15:22 "
"451","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","15/7/2018 15:22 "
"441","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","16/7/2018 15:22 "
"431","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","17/7/2018 15:22 "
"421","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","18/7/2018 15:22 "
"411","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","19/7/2018 15:22 "
"401","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","20/7/2018 15:22 "
"391","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","21/7/2018 15:22 "
"381","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","22/7/2018 15:22 "
"371","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","23/7/2018 15:22 "
"361","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","24/7/2018 15:22 "
"351","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","25/7/2018 15:22 "
"341","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","26/7/2018 15:22 "
"331","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","27/7/2018 15:22 "
"321","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","28/7/2018 15:22 "
"311","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","29/7/2018 15:22 "
"301","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","30/7/2018 15:22 "
"291","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","31/7/2018 15:22 "
"281","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","32/7/2018 15:22 "
"271","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","2/8/2018 15:22 "
"261","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","3/8/2018 15:22 "
"251","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","4/8/2018 15:22 "
"241","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","5/8/2018 15:22 "
"231","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","6/8/2018 15:22 "
"221","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","7/8/2018 15:22 "
"211","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","8/8/2018 15:22 "
"201","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","9/8/2018 15:22 "
"191","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","10/8/2018 15:22 "
"181","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","11/8/2018 15:22 "
"171","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","12/8/2018 15:22 "
"161","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","13/8/2018 15:22 "
"151","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","14/8/2018 15:22 "
"141","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","15/8/2018 15:22 "
"131","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","16/8/2018 15:22 "
"2","Sambil","","...","Good new bad in de raw other but this is only for","Punch","Lorem impsi","62","125362125.6","77724517.872","18.482909,-69.912228","","","ms_all/1/file_1.html","","","","","","Si","29/8/2018 15:22 "
"1","Agora","Rodriguez","...","Good new bad in de raw other but this is only for","Punch","Otro","100","18052.5","18052.5","18.4831355,-69.9449872","ms_all/1/image_1.png","","ms_all/1/file_1.pdf","rgba(201, 99, 31, 0.72)","Angel,Pamela,Anyelisa,Patricia,Jorge,Daniela","10/7/1989 20:0 ","14/10/2018 7:28 ","2/0/1970 7:28 ","Si","29/8/2018 15:22 "
